2cm Gotland,20cm Gotland,40cm Gotland,80cm Gotland,120cm Gotland,145cm Gotland,185cm Gotland,220cm Gotland,270cm Gotland ,2cm Fin,10cm Fin,20cm Fin,40cm Fin,80cm Fin,110cm Fin ,150cm Fin,190cm Fin,domain,phylum,class,order,family,genus
2.2154,2.1274,2.15025,1.66535,1.14415,0.9737,1.6303,1.88845,1.56035,0.29695,1.5978,1.506,2.8758,1.01985,1.4095,0.81715,1.29925,Bacteria,Desulfobacterota,Desulfobacteria,Desulfatiglandales,Desulfatiglandaceae,Desulfatiglans
2.3209,0.0683,0.01385,0.03775,0,0,0.0079,0.05905,0,0.7543,0.0858,0.15585,0,0.0075,0.0056,0.00625,0.0214,Bacteria,Actinobacteriota,Actinobacteria,PeM15,,
1.69975,0.7622,0.8244,0.39695,0.2277,0.31905,0.26755,0.66925,0.2749,0.9567,1.05085,1.04235,0.4174,0.2972,0.4223,0.1896,1.04505,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,uncultured,
1.6636,0.3413,0.0619,0.29585,0.0517,0.1049,0.14375,0.2697,0.03505,1.3061,0.1766,0.311,0.1051,0.0371,0.0691,0.00625,0.0591,Bacteria,Verrucomicrobiota,Kiritimatiellae,WCHB1-41,,
1.12525,1.1945,1.03215,0.50445,0.48525,1.0947,0.56905,0.8426,0.86705,0.4302,0.4173,0.60755,0.60375,0.3844,0.36805,0.28225,0.4783,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4 lineage
1.24695,1.3424,1.0858,0.42935,0.3885,0.37855,1.91845,0.62375,0.7991,3.0376,0.4319,0.48585,0.1038,2.9538,6.89125,0.668,4.405,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,,
1.2048,0.1024,0.04135,0.0534,0.2116,0.03555,0.0819,0.12435,0.0427,2.06595,0.44865,0.28385,0.05185,0.0561,0.1232,0.01875,0.08845,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,Sva0081 sediment group
1.0734,0.2617,0.35045,0.1994,0.2742,0.4375,0.4286,0.1443,0.2465,0.23195,0.6139,0.68675,0.34135,0.10575,0.13095,0.33715,0.13125,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,,
0.9694,0.3413,0.3512,0.24175,0.16175,0.1945,0.04375,0.4975,0.00665,3.62265,0.6428,0.68775,0.20725,0.0055,0.06375,0.01415,0.00635,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,uncultured
1.1282,0.6371,0.27565,0.48345,0.26895,0.22825,0.2615,0.482,0.4447,0.64855,0.33475,0.23005,0.0437,0.0892,0.0393,0.0989,0.05555,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup 23
0.77305,0.1138,0.02075,0.0648,0.10055,0.027,0.02795,0.1153,0,0.25625,0.19375,0.0443,0,0,0.01505,0,0.0127,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,LCP-80
0.9014,0.0228,0,0.0591,0.0133,0.01715,0,0.0644,0,0.61485,0.0833,0.06725,0.00815,0,0,0.00625,0.01505,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,uncultured
0.90945,0.4096,0.3093,0.6244,0.0702,0.1325,0.45405,0.335,0.0455,0.64855,0.3172,0.1671,0.045,0.57145,0.93025,0.36075,3.42735,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,uncultured
0.8141,0.603,0.42625,1.12955,0.1418,0.0804,0.01395,0.7337,0,1.63055,0.6897,0.7025,1.0009,0,0.0131,0.00625,0.01905,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,uncultured
0.7775,0.0114,0,0.00535,0.00665,0,0,0,0,0.75755,0.0431,0.0971,0,0,0,0,0.00635,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,SEEP-SRB4
0.91955,1.7065,1.49785,1.9626,1.99475,1.04135,0.5393,1.9476,0.73745,1.0596,2.1021,1.0289,1.20685,0.38595,0.71225,0.2165,0.2098,Bacteria,Chloroflexi,Anaerolineae,SBR1031,,
0.8663,0.1365,0.0548,0.0751,0.09675,0.2221,0.12185,0.16075,0.0284,0.18565,0.06695,0.1773,0.03815,0.0947,0.40025,0.07225,0.94745,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Cyanobium PCC-6307
0.64865,1.4334,1.79425,2.053,1.4619,0.82655,0.70905,1.0804,0.07775,0.29555,0.4666,0.9843,0.8847,0.0541,0.0393,0.022,0.02025,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus Omnitrophus
0.57305,1.1604,0.88745,0.7187,0.06355,0.081,0.13025,1.0785,0.12505,0.00655,0.3913,0.03585,0.5636,0.1914,0.10645,0.1239,0.21735,Bacteria,Chloroflexi,Anaerolineae,uncultured,,
0.5893,0.5802,0.25545,0.44,0.07685,0.081,0.10375,0.70815,0.04835,0.9965,0.5708,0.16185,0.07375,0.0075,0.02065,0.0079,0.01905,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,PHOS-HE36,
0.54465,0.1251,0.13755,0.52225,0.10195,0.05465,0.20795,0.218,0.11485,0.52515,0.24355,0.13545,0.1051,0.0757,0.07465,0.07365,0.1388,Bacteria,Sva0485,,,,
0.5583,1.479,1.00425,1.43,0.54175,0.8112,1.3048,1.1313,0.25215,0.21135,0.5206,0.20545,0.61715,0.1859,0.12485,0.1679,0.08605,Bacteria,Latescibacterota,Latescibacteria,Latescibacterales,Latescibacteraceae,
0.66125,2.2071,1.25235,1.5571,1.1859,1.2873,3.38225,2.7672,6.4749,0.09635,2.2125,0.9196,1.48945,1.4067,1.60835,2.01025,2.30185,Bacteria,Acidobacteriota,Aminicenantia,Aminicenantales,,
0.67245,0.5006,0.50895,0.86575,0.19735,0.1074,0.1336,0.3714,0.1222,0.8436,0.61525,0.3511,0.4027,0.01855,0.08215,0.04075,0.0706,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidetes BD2-2,
0.4431,0.0341,0,0,0,0.0092,0,0.00635,0,0.0126,0.0167,0,0,0.0055,0.0075,0,0.0353,Bacteria,Calditrichota,Calditrichia,Calditrichales,Calditrichaceae,Caldithrix
0.4989,0.7622,1.85675,1.12955,4.50265,3.55385,0.63385,0.7454,0.56795,0.1805,2.12435,3.2991,3.83525,0.16185,0.21995,0.22275,0.12255,Bacteria,NB1-j,,,,
0.41775,1.6268,0.055,0.48875,0.00665,0.01715,0.04,1.95845,0,0.75705,0.1293,0.0929,0.00815,0,0,0,0.00635,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum
0.44815,0.182,0.0896,0.12385,0.00665,0,0.02795,0.14615,0,0.1099,0.10215,0.1168,0.00685,0,0,0,0.00755,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Ornatilinea
0.6323,1.4107,1.64515,0.9836,1.44015,1.34635,0.4918,1.60605,0.12045,2.4713,1.3864,1.9113,0.6909,0.13535,0.2502,0.08965,0.13485,Bacteria,Chloroflexi,KD4-96,,,
0.62675,0.4664,0.41205,0.75825,0.7922,0.54245,0.32485,0.57115,0.8211,0.0898,0.4423,0.509,0.919,0.05015,0.11805,0.0125,0,Bacteria,Zixibacteria,,,,
0.33905,0.0683,0,0.0324,0.00665,0.0178,0.03205,0.03905,0,0.10945,0.0573,0.02815,0.0408,0.0426,0.01865,0,0.0127,Bacteria,Myxococcota,Polyangia,MidBa8,,
0.42835,0.8874,1.087,1.11565,2.1279,1.69365,1.28505,0.71095,1.95715,0.2703,1.4048,2.46395,2.4597,2.0768,1.938,1.383,1.69705,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,AKAU3564 sediment group,
0.4309,0.0114,0,0,0,0,0,0,0,0.31375,0.01425,0.07495,0,0,0,0.00625,0,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolineaceae UCG-001
0.41415,0.0683,0.09635,0.0858,0.07825,0.1233,0.01815,0.0608,0.00945,0.2749,0.03095,0.1474,0.0163,0.0481,0.02815,0.00625,0.0456,Bacteria,Planctomycetota,OM190,,,
0.6206,1.9454,1.01155,1.27975,0.2462,0.0534,0.0419,2.4296,0.05395,4.18335,1.01775,0.7585,0.2105,0.013,0.01115,0.00625,0,Bacteria,Proteobacteria,Gammaproteobacteria,B2M28,,
0.46995,0.4437,0.53585,0.4984,0.2557,0.32095,0.0479,1.1583,0.0844,2.6818,0.8952,0.97195,0.3358,0,0.0298,0.01415,0.0456,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia
0.56735,0.5916,0.7142,0.98255,0.4492,0.39275,0.24715,0.5002,0.03785,0.5901,0.1649,0.2779,0.3593,0.05965,0.07465,0.022,0.04165,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,,
0.2158,0.273,0,0.0541,0.0569,0.0086,0,0.07725,0,0.4891,0.06445,0.07665,0,0,0,0.0125,0,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,[Desulfobacterium] catecholicum group
0.48925,0.6712,0.3858,0.72625,0.26375,0.37055,0.14795,0.5111,0.1005,0.476,0.4825,0.3103,0.40825,0.0391,0.01865,0.0424,0.04045,Bacteria,Latescibacterota,,,,
0.4446,2.1843,3.27665,4.72825,7.46835,7.0557,4.6604,1.91565,8.44425,0.1473,1.5622,2.205,3.93515,4.7509,4.31855,3.38025,1.50235,Bacteria,Planctomycetota,Phycisphaerae,MSBL9,SG8-4,
0.42225,0,0,0,0,0.0086,0,0,0,0.0388,0,0.0162,0,0,0,0,0.00635,Bacteria,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,uncultured
0.36895,0,0,0,0,0,0,0,0,0.0449,0.0071,0.0264,0.00685,0,0,0,0,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,Desulfopila
0.28525,0.2048,0.2468,0.1178,0.04645,0.089,0.0521,0.30795,0.0266,1.8218,0.1649,0.2512,0.15435,0.02605,0.0298,0.02665,0.04045,Bacteria,Proteobacteria,Gammaproteobacteria,uncultured,,
0.41055,0,0.02055,0,0,0,0,0,0,0.1426,0.01425,0.0162,0,0.0055,0.02065,0.00625,0,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Thermomarinilinea
0.29335,0,0,0,0,0,0,0,0,0.01965,0,0.006,0,0.0055,0.0131,0,0,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Aphanizomenon MDT14a
0.32125,0.1934,0.74845,0.59205,0.46105,0.3044,0.1702,0.24425,0.3779,0.0519,0.1741,0.26845,0.3632,0.3705,0.5867,0.59005,0.37875,Bacteria,Dependentiae,Babeliae,Babeliales,,
0.2487,0.273,5.0194,1.6461,3.1402,5.17895,5.84435,1.3282,5.0569,0.1618,5.46895,7.24875,5.51575,4.5139,3.24395,3.68285,3.2176,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,uncultured
0.34615,0.0114,0.0273,0.0107,0,0,0.0079,0.0499,0,0.5209,0.02385,0.03235,0.00685,0.0055,0,0,0,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,
0.2345,0.0341,0.08235,0.0808,0.02515,0.0448,0.06375,0.0191,0.00945,0.32925,0.146,0.0401,0.05185,0.0055,0.02065,0.01875,0,Bacteria,Firmicutes,Clostridia,Oscillospirales,Hungateiclostridiaceae,uncultured
0.22895,0,0,0.016,0,0,0,0.00635,0,0.08325,0.0167,0.0366,0,0,0,0,0,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Fusibacteraceae,Fusibacter
0.34055,1.8203,1.8212,1.43575,0.52985,0.26505,0.30945,1.65165,0.70495,0.41105,0.50555,0.22585,0.1981,0.22305,0.1549,0.207,0.15785,Bacteria,Gemmatimonadota,PAUC43f marine benthic group,,,
0.27915,0.785,0.52915,1.46385,0.10055,0.0448,0.06185,0.92075,0.38585,1.92805,0.4444,0.43975,0,0.013,0,0.03615,0.01905,Bacteria,Myxococcota,Polyangia,Polyangiales,Sandaracinaceae,uncultured
0.26245,1.0011,3.078,1.3414,1.4558,2.4054,2.0962,0.7608,1.0236,0.3072,1.58265,1.4631,1.4483,2.5899,1.6672,3.46525,3.4726,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,Methyloceanibacter
0.27915,0.0569,0.04115,0.0324,0.20535,0.23805,0.11355,0.12255,0.0294,0.1356,0.06445,0.03835,0.03555,0.0075,0.01865,0.02825,0.00635,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured
0.2345,0.0455,0,0.0107,0.00665,0,0.01395,0.03445,0.00945,0.03225,0,0,0.00815,0.0055,0.01115,0.02365,0.02025,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,LD29
0.3486,0,0,0,0,0,0,0,0,0.1417,0.0096,0,0,0,0,0,0,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,uncultured
0.2649,1.752,4.67735,1.65465,2.44015,0.97935,0.5732,1.8721,0.65305,1.068,2.5603,4.7306,1.90395,1.91605,2.1691,3.5169,1.5019,Bacteria,MBNT15,,,,
0.20355,0,0.02075,0,0,0,0,0.00635,0,0.07715,0.02385,0.0239,0.00685,0,0,0,0,Bacteria,Myxococcota,Polyangia,UASB-TL25,,
0.27305,0.2048,0.3303,0.39195,0.45205,0.42095,0.23545,0.3532,0.1716,0.4438,0.4415,0.6547,0.7552,0.11925,0.07855,0.14755,0.09835,Bacteria,Acidobacteriota,Subgroup 22,,,
0.234,0.0114,0,0,0,0.0086,0,0.0136,0,0.20525,0.16525,0.02215,0.09135,0,0,0,0,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,Desulfocapsa
0.20305,0.0683,0.0277,0.0858,0,0.01715,0.00605,0.1153,0,0.1473,0.06445,0.05205,0.0137,0.01855,0,0.0079,0,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup 17,,
0.2421,0.5347,0.32295,0.83335,0.15365,0.2148,0.07585,0.66545,0.07495,0.0449,0.62355,0.2174,0.41935,0.0722,0.0521,0.047,0.0896,Bacteria,Calditrichota,Calditrichia,Calditrichales,Calditrichaceae,
0.25885,0,0.0069,0.02705,0.0133,0,0.0121,0.01995,0,0.00655,0,0.02815,0.00815,0,0,0,0,Bacteria,NKB15,,,,
0.17515,0.0455,0,0.00535,0,0,0.00605,0.05355,0,0,0,0,0,0,0,0,0.00755,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Yoonia-Loktanella
0.2477,0.4664,0.2337,0.3656,0.37615,0.1627,0.0558,0.5829,0.03505,0.05845,0.05275,0.0605,0.05055,0.0742,0.0691,0.0864,0.00755,Bacteria,SAR324 clade(Marine group B),,,,
0.2923,0.1251,0.1237,0.20435,0.04505,0.02575,0,0.07265,0.00665,0.33385,0.06445,0.14145,0.00685,0,0.0131,0,0.00635,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta 2
0.17515,0.3413,0.09635,0.0968,0.0569,0.06135,0.0479,0.32505,0.02555,0.07765,0.24355,0.2139,0.24315,0.02405,0.05045,0.01415,0.04165,Bacteria,WS2,,,,
0.2167,0.1593,0.21965,0.27945,0.4673,0.16815,0.13395,0.3313,0.0721,0.0767,0.02885,0.13545,0.1325,0.0687,0.0989,0.20535,0.04285,Bacteria,Acidobacteriota,Subgroup 21,,,
0.19435,0.1138,0.0825,0.03205,0.02515,0.03495,0.0079,0.0599,0.03505,0.59905,0.1649,0.1917,0.02445,0.0055,0,0,0.04045,Bacteria,Actinobacteriota,Coriobacteriia,OPB41,,
0.23345,0.7395,0.87865,0.8921,1.39085,1.299,1.109,0.75815,1.01235,0.16085,0.7403,0.3807,1.0277,1.41375,1.47065,1.2708,0.652,Bacteria,Actinobacteriota,WCHB1-81,,,
0.19435,0.1706,0.2958,0.3713,0.2756,0.2418,0.1498,0.25235,0.18,0.0968,0.22935,0.19845,0.2934,0.4785,0.87905,0.2306,0.4569,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,
0.2111,0.0569,0.02075,0.04305,0,0,0.02605,0.03995,0.2728,0.0575,0.05485,0,0.0137,0.0055,0.0056,0.022,0,Bacteria,Marinimicrobia (SAR406 clade),,,,
0.1609,0.0455,0.0275,0.08045,0.00665,0.0086,0.00605,0.0635,0,0.05145,0,0.0162,0.00815,0.013,0.0075,0,0,Bacteria,Planctomycetota,Phycisphaerae,MSBL9,4572-13,
0.1888,0.1024,0.2195,0.10215,0.11525,0.3676,0.1517,0.1661,0.05115,0.1286,0.11925,0.0904,0.09435,0.0912,0.0897,0.07365,0.0908,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Blastopirellula
0.2948,0.182,0,0.03775,0,0,0.0079,0.12165,0,0.0706,0.0096,0.0443,0,0,0,0,0.00755,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Gimesiaceae,Gimesia
0.1609,0.0114,0,0,0,0,0,0.00725,0,0.00655,0,0,0,0,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella
0.15225,0,0,0.00535,0,0,0.0079,0.0136,0,0.81595,0.15315,0.14985,0,0,0,0,0.0139,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,IMCC26207
0.1411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00635,Bacteria,Actinobacteriota,Actinobacteria,uncultured,,
0.1355,0.3868,0.11005,0.2093,0.0199,0.0086,0.00605,0.316,0,0.0131,0.0096,0,0.02185,0.015,0,0,0,Bacteria,Bacteroidota,Kryptonia,Kryptoniales,BSV26,
0.18575,0.0569,0,0.2314,0.0133,0,0.00605,0.12435,0,0.44845,0.0452,0.0647,0,0,0.0056,0,0,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfurimonas
0.2025,0.4778,0.46835,0.73085,0.42125,0.53635,0.61055,0.4693,0.24165,0.1169,0.22935,0.1576,0.38085,0.1113,0.45435,0.2024,0.09875,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Pelolinea
0.2025,0.2844,0.1508,0.17155,0.0384,0,0,0.1489,0.00945,0.37315,0.0858,0.10905,0,0,0.0056,0,0,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,uncultured
0.2248,1.0694,0.46875,1.12385,0.59485,0.4939,0.5472,1.142,0.87475,0.0706,1.2065,0.6994,1.3563,0.4866,0.2485,0.24475,0.2284,Bacteria,Chloroflexi,Dehalococcoidia,MSBL5,,
0.2248,0.0341,0,0.00535,0.00665,0,0,0.0136,0,0.19265,0.06195,0.03835,0.0137,0,0,0,0.0127,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,Desulfatirhabdium
0.1411,0.0114,0.0069,0,0,0.0086,0,0,0,0.01915,0.0071,0,0,0,0,0,0,Bacteria,Firmicutes,Clostridia,Lachnospirales,Defluviitaleaceae,Defluviitaleaceae UCG-011
0.169,0.3982,0.29525,0.2154,0.19735,0.1767,0.0856,0.29055,0.14215,0.0318,0.1574,0.0707,0.07245,0.0426,0.073,0.0815,0.0932,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella
0.1634,0.0341,0.0069,0.00535,0.00665,0.0178,0.04375,0.03445,0.02275,0.1473,0.0167,0.0401,0.03815,0.08415,0.1009,0.0674,0.31565,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella
0.19135,0.0569,0.04805,0.03775,0.0318,0.054,0.01395,0.01995,0,1.09335,0.21545,0.305,0.00685,0,0,0,0.00635,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halieaceae,OM60(NOR5) clade
0.1634,0.0114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,Terrimicrobium
0.17715,0.1706,0.06865,0.016,0.037,0.11595,0.04,0.23875,0.00945,1.61655,0.28665,0.32195,0,0,0.0075,0.01415,0.048,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,,
0.19945,0,0,0,0,0,0,0.00635,0.00665,0.29555,0.0071,0.05875,0,0,0.0056,0,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidetes VC2.1 Bac22,,
0.1325,0,0.01365,0,0.0503,0,0.00605,0,0,0.2198,0.01425,0.05275,0.00685,0,0,0,0,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,IheB3-7
0.1325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacterium
0.16595,0.1479,0.29545,0.1609,0.12045,0.12455,0.0479,0.1289,0.04935,0.238,0.0406,0.02215,0.00685,0.04465,0.02425,0,0.16695,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,Desulfosarcina
0.16595,0,0,0,0,0,0,0,0,0.03835,0,0.03235,0,0,0,0,0,Bacteria,Desulfobacterota,Desulfuromonadia,Bradymonadales,,
0.1213,0.0683,0.0344,0.016,0,0,0.0079,0.03995,0,0.04585,0.0167,0,0,0,0,0,0,Bacteria,Firmicutes,Clostridia,Oscillospirales,Hungateiclostridiaceae,Ercella
0.19945,0.7281,0.5305,0.83405,0.1404,0.0896,0.13585,0.85425,0.00945,1.45005,1.3885,1.93905,0.2882,0,0,0.00625,0.00755,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured
0.099,0.0683,0.04805,0.09645,0.12045,0.16745,0.1377,0.0318,0.0417,0.1482,0.10505,0.064,0.13775,0.0296,0.1365,0.0329,0.0896,Bacteria,Hydrogenedentes,Hydrogenedentia,Hydrogenedentiales,Hydrogenedensaceae,
0.14365,0.0228,0.01365,0.0591,0.00665,0,0,0.0608,0,0.0449,0,0.0102,0,0,0,0,0,Bacteria,Modulibacteria,Moduliflexia,Moduliflexales,Moduliflexaceae,
0.1325,1.1832,1.374,1.84475,0.99475,0.4467,0.57095,1.46795,1.66775,0.1473,1.0441,0.26845,1.3775,1.79445,0.84635,1.38845,0.6207,Bacteria,Nitrospirota,Thermodesulfovibrionia,uncultured,,
0.1325,0.0455,0.0069,0.00535,0,0,0.0079,0.03445,0,0.0706,0.03805,0.0204,0.015,0,0.0056,0,0.00755,Bacteria,Patescibacteria,Gracilibacteria,,,
0.11575,0,0.0069,0.03775,0.02515,0.03625,0,0.02085,0,0.0131,0.02885,0.006,0.0137,0.0075,0.0075,0.0079,0.00755,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,uncultured
0.1492,0.0796,0.07575,0,0.1841,0.7499,0.5695,0.1063,0.03505,0.00655,0.01425,0.0102,0.015,0.11175,0.1661,0.02665,0.24785,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,Anderseniella
0.11575,0.1138,0.04115,0.0968,0.05835,0.0178,0.0219,0.0817,0,0.1534,0.0406,0.0366,0.0287,0.01655,0.0412,0.022,0.0139,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Sediminispirochaeta
0.0959,0.182,0.22675,0.2421,0.2372,0.05275,0.1117,0.12805,0.08825,0.0575,0.0858,0.18995,0.76205,0.01105,0.0262,0.1508,0.02895,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,SCGC AAA011-D5,
0.068,0,0,0,0.00665,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Thermotomaculum
0.1294,0.091,0.08235,0.0484,0.0318,0.0092,0.0079,0.07625,0.0133,0.0126,0.0096,0.0264,0.00815,0.0075,0,0,0,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996 marine group
0.0959,0.0455,0,0.00535,0,0,0,0.00725,0,0.12255,0.0167,0.006,0,0,0.02065,0,0,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,uncultured
